Assemblage_Name	0-1-0	0-6537674-4	0-0-3502405	603715-0-4	342200-0-4	0-0-5870171	3983189-0-4	0-8612258-4	0-0-7302014	0-7633079-0	0-9421312-4	2724584-0-4	0-0-4	0-0-9236302	460055-0-4	0-0-809244	0-0-9738296	9849761-0-4	8116888-0-4	0-0-4150080	0-0-7706056	0-0-7496744	0-0-6584539
assemblage-15-2	0	0	0	0	0	0	0	0	0	0	0	0	199	1	0	0	0	0	0	0	0	0	0
assemblage-11-3	0	0	0	0	0	0	0	1	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0
assemblage-11-2	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0
assemblage-12-4	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0
assemblage-28-1	1	0	0	0	1	1	0	0	0	0	0	0	195	0	0	0	0	0	0	2	0	0	0
assemblage-12-1	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0
assemblage-12-2	0	0	0	0	1	0	0	0	0	0	0	0	196	0	1	1	0	0	0	1	0	0	0
assemblage-2-3	0	0	0	0	0	0	0	0	0	0	0	0	199	1	0	0	0	0	0	0	0	0	0
assemblage-1-4	13	0	6	0	0	0	0	0	0	0	0	1	179	0	0	0	1	0	0	0	0	0	0
assemblage-3-2	66	1	5	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	1
assemblage-21-4	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	1	0	1	0	0
assemblage-21-3	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0
assemblage-28-3	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0
assemblage-25-4	28	1	5	0	1	0	0	0	0	0	0	0	162	0	1	1	0	0	0	0	0	1	0
assemblage-6-2	0	0	0	0	0	0	1	0	0	0	1	0	197	0	0	0	0	1	0	0	0	0	0
assemblage-7-3	0	0	0	0	0	0	0	2	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0
assemblage-20-3	0	0	0	0	0	0	0	0	1	0	0	0	198	0	0	0	0	1	0	0	0	0	0
assemblage-20-1	47	4	8	1	0	0	0	0	0	2	0	0	138	0	0	0	0	0	0	0	0	0	0
assemblage-18-4	0	0	0	0	0	0	0	0	1	0	0	0	199	0	0	0	0	0	0	0	0	0	0
assemblage-16-2	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0
assemblage-19-1	11	0	2	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0
assemblage-4-4	48	0	16	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0
