Assemblage_Name	3-0-9980799	3-0-6244092	6884008-0-1	7181139-0-1	3-0-4237419	3-0-2798419	3-2709500-1	3-0-1	3-6829909-1	3-0-2869914	3-3524110-1	7081060-0-1	3-2243613-1	3-0-9811626	6172825-2243613-1	3-0-2053051	3900961-0-1	4173464-0-1	9197297-0-1	3-0-8957851
assemblage-15-2	7	0	0	0	0	0	0	189	0	0	0	0	4	0	0	0	0	0	0	0
assemblage-11-3	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-11-2	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-12-4	10	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-28-1	0	0	0	0	0	0	0	166	0	0	0	0	33	0	1	0	0	0	0	0
assemblage-12-1	0	0	13	0	0	0	0	186	0	0	0	1	0	0	0	0	0	0	0	0
assemblage-12-2	0	0	0	0	0	0	0	181	0	0	0	0	19	0	0	0	0	0	0	0
assemblage-2-3	9	0	0	0	0	0	0	190	0	0	0	0	0	0	0	1	0	0	0	0
assemblage-1-4	0	0	0	0	0	0	0	193	0	0	0	0	7	0	0	0	0	0	0	0
assemblage-3-2	0	0	0	0	0	0	0	197	0	0	0	0	2	0	0	0	1	0	0	0
assemblage-21-4	0	0	15	0	0	0	0	184	0	0	0	1	0	0	0	0	0	0	0	0
assemblage-21-3	0	0	0	0	0	0	0	198	0	2	0	0	0	0	0	0	0	0	0	0
assemblage-28-3	0	0	19	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-25-4	0	0	0	0	0	0	2	190	0	0	0	0	8	0	0	0	0	0	0	0
assemblage-6-2	0	0	11	0	1	0	0	183	5	0	0	0	0	0	0	0	0	0	0	0
assemblage-7-3	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-20-3	0	1	17	0	0	1	0	177	3	0	0	0	0	0	0	0	0	0	1	0
assemblage-20-1	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-18-4	0	0	6	0	0	0	0	191	3	0	0	0	0	0	0	0	0	0	0	0
assemblage-16-2	9	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0
assemblage-19-1	3	0	0	0	0	0	0	191	0	0	1	0	3	0	0	0	0	1	0	1
assemblage-4-4	0	0	0	1	0	0	0	190	0	0	0	0	8	1	0	0	0	0	0	0
