Assemblage_Name	7850170-0-1	1780198-0-1	1-0-1	7850170-8071644-1	7850170-0-8137111	7850170-3515832-1	8531555-0-1
assemblage-15-2	5	0	194	1	0	0	0
assemblage-11-3	158	0	39	0	0	3	0
assemblage-11-2	151	0	49	0	0	0	0
assemblage-12-4	40	0	160	0	0	0	0
assemblage-28-1	2	0	198	0	0	0	0
assemblage-12-1	199	0	0	0	1	0	0
assemblage-12-2	0	0	200	0	0	0	0
assemblage-2-3	38	0	162	0	0	0	0
assemblage-1-4	51	0	148	0	0	1	0
assemblage-3-2	0	0	200	0	0	0	0
assemblage-21-4	200	0	0	0	0	0	0
assemblage-21-3	147	0	44	0	0	9	0
assemblage-28-3	200	0	0	0	0	0	0
assemblage-25-4	0	0	200	0	0	0	0
assemblage-6-2	200	0	0	0	0	0	0
assemblage-7-3	132	0	63	0	0	5	0
assemblage-20-3	200	0	0	0	0	0	0
assemblage-20-1	0	0	200	0	0	0	0
assemblage-18-4	178	0	20	0	0	1	1
assemblage-16-2	13	0	187	0	0	0	0
assemblage-19-1	13	1	186	0	0	0	0
assemblage-4-4	0	0	200	0	0	0	0
